Property Id,Address,Customer Id,Customer Name,Total Cost,yearBuilt,Sale Date,Seller,Image
67,"6077 E WISTER ST , Philadelphia, PA 19138",21,PHELAN HALLINAN  LLP,"52,887.02",1939,August 2  2016,CITIFINANCIAL SERVICING  LLC,http://www.thehindu.com/real-estate/article19998916.ece/alternates/FREE_660/THJVNSOUTHERNSUBURBS
68,"841 SCATTERGOOD ST , Philadelphia, PA 19124",21,PHELAN HALLINAN  LLP,"33,787.83",1940,September 13  2016,WILMINGTON SAVINGS FUND SOCIETY,http://cdn.hut.ae/images/Property/large/1/2015/8/27/Apartment-for-sale-s1-id49867.jpg
69,"6421 N CAMAC ST , Philadelphia, PA 19126",21,PHELAN HALLINAN  LLP,"53,333.93",1925,August 2  2016,PENNYMAC CORP.,https://www.propertyfinder.ae/property/3ce2aae6eb586ad6019a8978a0108198/500/356/MODE/d7222c/5819898-fa6b6o.jpg
70,"5112 NEWHALL ST , Philadelphia, PA 19144",21,PHELAN HALLINAN  LLP,"80,498.60",1920,August 2  2016,PINGORA LOAN SERVICING LLC,http://www.tgsva.com/wp-content/uploads/2016/10/bishard_site-sign.png
71,"1628 ALLENGROVE ST , Philadelphia, PA 19124",21,PHELAN HALLINAN  LLP,"38,123.14",1936,August 2  2016,CENLAR FSB,https://transform0.ljhooker.com/XzLW2MUGA5xbBC55-E8llOylbYE=/1283x644/http%3A%2F%2Fimages.ljhooker.co.nz%2FPROPERTY%2Fpictures%2F0002208687.jpg%3Fhash%3D608664760.1024x740
72,"2542 CARROLL ST , Philadelphia, PA 19142",21,PHELAN HALLINAN  LLP,"29,364.35",1920,September 13  2016,FEDERAL NATIONAL MORTGAGE ASSOCIATION,http://www.telegraph.co.uk/content/dam/property/2017/11/13/TELEMMGLPICT000145435794-xlarge_trans_NvBQzQNjv4Bqek9vKm18v_rkIPH9w2GMNoGXySPv9M1Jbe0Fc3Bi1Fk.jpeg
73,"5511 N 3RD ST , Philadelphia, PA 19120",21,PHELAN HALLINAN  LLP,"50,921.98",1940,August 2  2016,US BANK NATIONAL ASSOCIATION  AS TRUSTEE FOR BNC MORTGAGE LOAN TRUST 2007-02  MORTGAGE PASS-THROUGH CERTIFICATES SERIES 2007-2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR54L-Jj7S4EeopAsfAxQCbrFDcjh8dbz3RIWfpXhJMhPQg0erw
74,"1707 BRIDGE ST , Philadelphia, PA 19124",21,PHELAN HALLINAN  LLP,"30,587.50",1937,August 2  2016,U.S. BANK TRUST NATIONAL ASSOCIATION  NOT IN ITS INDIVIDUAL CAPACITY BUT SOLELY AS DELAWARE TRUSTEE AND U.S. BANK NATIONAL ASSOCIATION  NOT IN ITS INDIVIDUAL CAPACITY BUT SOLELY AS CO-TRUSTEE FOR,http://hgtvhome.sndimg.com/content/dam/images/hgtv/fullset/2014/12/17/1/Teresa-Ryback_Contemporary-West-Coast-Exterior.jpg.rend.hgtvcom.966.644.suffix/1418836105562.jpeg
75,"4244 ORMOND ST , Philadelphia, PA 19124",21,PHELAN HALLINAN  LLP,"35,142.11",1950,August 2  2016,HSBC BANK USA  NATIONAL ASSCIATION  AS TRUSTEE FOR DEUTSCHE ALT-A SECURITIES INC. MORTGAGE LOAN TRUST  MORTGAGE PASS- THROUGH CERTIFICATES SERIES 2006-AF1,"https://timesofindia.indiatimes.com/thumb/msid-59691350,width-400,resizemode-4/59691350.jpg"
76,"3566 JASPER ST , Philadelphia, PA 19134",21,PHELAN HALLINAN  LLP,"31,265.36",1921,August 2  2016,PNC BANK  NATIONAL ASSOCIATION,https://pbs.twimg.com/media/Cbr9aPCWIAElus3.jpg
77,"5232 SYLVESTER ST , Philadelphia, PA 19124",21,PHELAN HALLINAN  LLP,"37,268.37",1940,October 4  2016,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION S/B/M CHASE HOME FINANCE  LLC S/B/M TO CHASE MANHATTAN MORTGAGE CORPORATION,https://teja10.kuikr.com/restatic/dist/image/sponsored/qh2md.jpg
78,"1416 ORTHODOX ST , Philadelphia, PA 19124",21,PHELAN HALLINAN  LLP,"92,560.27",1925,August 2  2016,PHH MORTGAGE CORPORATION F/K/A PHH MORTGAGE SERVICES,http://www.redrocksindia.com/wp-content/uploads/2015/07/tonaliteoverview.jpg
79,"4236 WALLACE ST , Philadelphia, PA 19104",22,RICHARD J NALBANDIAN  III,"22,211.59",1925,August 2  2016,US BANK NATIONAL ASSOCIATION  ET ALS,http://www.thehindu.com/migration_catalog/article10988703.ece/alternates/FREE_660/TH29_BU_MORTGAGE_RATES
80,"1349 DYRE ST , Philadelphia, PA 19124",23,RICHARD M. SQUIRE & ASSOCIATES  LLC,"40,465.10",1940,August 2  2016,LSF8 MASTER PARTICIPATION TRUST,https://content.magicbricks.com/images/uploads/2017/11/slide1.jpg
81,"2314 S 63RD ST , Philadelphia, PA 19142",23,RICHARD M. SQUIRE & ASSOCIATES  LLC,"59,281.66",1925,August 2  2016,LSF8 MASTER PARTICIPATION TRUST,http://www.vizagrealestate.com/wp-content/uploads/2016/03/ChFdJT.jpg
82,"2112 BELLEVUE ST , Philadelphia, PA 19140",24,ROMANO  GARUBO & ARGENTIERI,"42,937.74",1933,August 2  2016,NATIONSTAR HECM ACQUISITION TRUST 2015-1  ETC,http://www.orionproperties.in/administrator/property/property_28.jpg
83,"886 N 49TH ST , Philadelphia, PA 19139",25,SHAPIRO & DENARDO  LLC,"25,589.03",1925,August 2  2016,U.S. BANK NATIONAL ASSOCIATION,https://media.cntraveler.com/photos/55db726b37284fb1079d53b8/master/pass/town-country-l-horizon-palm-springs-tout.jpg
84,"2908 RORER ST , Philadelphia, PA 19134",25,SHAPIRO & DENARDO  LLC,"27,248.92",1935,September 13  2016,DEUTSCHE BANK NATIONAL TRUST COMPANY AS TRUSTEE FORMERLY KNOWN AS BANKERS TRUST COMPANY OF CALIFORNIA  N.A. AS TRUSTEE OF MELLON CRA MORTGAGE LOAN TRUST 1998-A,http://static3.businessinsider.com/image/59d7b4d0351ccf83028b9219-1190-625/13-of-the-best-places-to-buy-a-rental-property-in-the-us-right-now.jpg
